5 stars_count,5 stars_average_score,4 stars_count,4 stars_average_score,3 stars_count,3 stars_average_score,1 star_count,1 star_average_score,2 stars_count,2 stars_average_score
23.0,0.7840048826259115,5.0,0.5491285204887391,,,,,,
,,,,1.0,0.251864492893219,,,,
25.0,0.7686185908317565,6.0,0.5496677656968435,,,,,,
3.0,0.8093320528666178,1.0,0.6392101645469666,,,,,,
130.0,0.7271448719959993,22.0,0.5544267472895709,3.0,0.46441728870073956,1.0,0.48702511191368103,1.0,0.4653279781341553
32.0,0.7208931632339954,11.0,0.618129472840916,1.0,0.29565194249153137,,,,
2.0,0.6277568340301514,,,,,,,,
53.0,0.7706045249723038,10.0,0.5435200065374375,1.0,0.6012429594993591,,,2.0,0.4279618114233017
6.0,0.6904458999633789,1.0,0.7259067893028259,,,,,,
,,1.0,0.6438916921615601,,,,,,
,,,,1.0,0.251864492893219,,,,
3.0,0.6567500531673431,2.0,0.6222334206104279,1.0,0.35546764731407166,,,,
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
53.0,0.7052864730358124,36.0,0.5635508638289239,6.0,0.4014723300933838,3.0,0.6878464420636495,5.0,0.4278344213962555
,,,,1.0,0.251864492893219,,,,
,,,,1.0,0.251864492893219,,,,
3.0,0.7292227745056152,2.0,0.7210437953472137,,,,,,
,,,,1.0,0.251864492893219,,,,
108.0,0.698721575792189,48.0,0.5724547573675712,4.0,0.44921666383743286,,,,
,,,,1.0,0.251864492893219,,,,
4.0,0.6764943450689316,3.0,0.45672927300135296,1.0,0.3941677510738373,1.0,0.7135292887687683,,
,,,,1.0,0.251864492893219,,,,
5.0,0.7620242238044739,3.0,0.6715010603268942,,,,,,
,,,,1.0,0.251864492893219,,,,
2.0,0.775630921125412,1.0,0.6356086730957031,,,,,,
,,,,1.0,0.251864492893219,,,,
2.0,0.7646633684635162,,,,,,,,
16.0,0.7051697559654713,8.0,0.5416186116635799,2.0,0.4736400544643402,,,,
2.0,0.7292235195636749,2.0,0.5390140116214752,,,,,,
107.0,0.732943202569106,40.0,0.6107211045920848,3.0,0.5144601464271545,,,3.0,0.4322522282600403
