5 stars_count,5 stars_average_score,4 stars_count,4 stars_average_score,2 stars_count,2 stars_average_score,3 stars_count,3 stars_average_score,1 star_count,1 star_average_score
29.0,0.741216796225515,5.0,0.522960901260376,,,,,,
22.0,0.7031096450307153,7.0,0.5958919525146484,1.0,0.30975115299224854,,,,
2.0,0.8304391801357269,1.0,0.5529769062995911,,,2.0,0.45939140021800995,,
,,,,,,1.0,0.251864492893219,,
,,,,,,1.0,0.251864492893219,,
75.0,0.6955133454004924,26.0,0.569801023373237,,,1.0,0.8379907011985779,,
9.0,0.7998016277949015,2.0,0.540129542350769,,,,,,
,,,,,,1.0,0.251864492893219,,
62.0,0.7014844489674414,17.0,0.6208221596830031,2.0,0.5048271864652634,,,,
8.0,0.7526875361800194,3.0,0.5629902680714926,,,,,,
,,,,,,1.0,0.251864492893219,,
89.0,0.7257140489776482,7.0,0.553550511598587,,,,,,
9.0,0.7157568865352206,4.0,0.6507770121097565,1.0,0.504120409488678,4.0,0.55323875695467,,
11.0,0.8223883834752169,1.0,0.5254387259483337,,,,,,
,,1.0,0.5767791867256165,,,,,,
11.0,0.7736801315437664,1.0,0.5515424013137817,,,,,,
45.0,0.6966813928551144,8.0,0.5804402343928814,,,,,,
4.0,0.6966140642762184,2.0,0.5207386165857315,,,,,,
2.0,0.9542533457279205,,,,,,,,
,,,,,,1.0,0.251864492893219,,
2.0,0.9156188070774078,1.0,0.736068069934845,,,,,,
8.0,0.7652320712804794,2.0,0.4621741324663162,,,1.0,0.4192904531955719,,
,,,,,,1.0,0.251864492893219,,
4.0,0.6298699006438255,3.0,0.6268348693847656,,,,,,
5.0,0.6982275962829589,1.0,0.5161533355712891,,,2.0,0.4925551265478134,,
5.0,0.6724232912063599,1.0,0.6838991045951843,,,,,,
,,,,,,1.0,0.251864492893219,,
1.0,0.6876175999641418,,,,,,,,
47.0,0.7579671721509162,12.0,0.5141826843221983,1.0,0.45295441150665283,3.0,0.40605129798253375,,
,,,,,,1.0,0.251864492893219,,
1.0,0.7406041026115417,,,,,,,,
7.0,0.7848755206380572,,,1.0,0.37857213616371155,,,,
3.0,0.7240980664889017,,,,,,,,
32.0,0.7786412052810192,5.0,0.5279520630836487,1.0,0.4816289246082306,,,,
182.0,0.7273534842572369,44.0,0.5870423906228759,1.0,0.5096477270126343,3.0,0.44707324107487995,,
6.0,0.772510806719462,1.0,0.5245449542999268,,,,,,
18.0,0.7242885182301203,8.0,0.5542409084737301,1.0,0.5034294128417969,,,1.0,0.5587883591651917
11.0,0.7680418220433322,1.0,0.41839227080345154,,,,,,
14.0,0.7803233819348472,3.0,0.568541427453359,1.0,0.6551652550697327,,,,
27.0,0.7168633915759899,16.0,0.5820205323398113,1.0,0.3554309606552124,1.0,0.4192333519458771,1.0,0.922486424446106
137.0,0.7326193608506752,43.0,0.5744712581468183,,,3.0,0.6360744337240855,,
2.0,0.6256667524576187,1.0,0.5653196573257446,,,,,,
1.0,0.7206682562828064,2.0,0.42420318722724915,,,,,,
,,,,,,1.0,0.251864492893219,,
1.0,0.4683394730091095,,,,,,,,
1.0,0.7456084489822388,,,1.0,0.2964109182357788,1.0,0.39747294783592224,,
,,,,,,1.0,0.251864492893219,,
7.0,0.6435436010360718,2.0,0.6083459258079529,,,,,,
19.0,0.759159295182479,6.0,0.5530560364325842,,,1.0,0.4515670835971832,,
6.0,0.7684046824773153,,,1.0,0.3639737069606781,,,,
,,,,,,1.0,0.251864492893219,,
60.0,0.7088294302423795,34.0,0.5689041632063249,4.0,0.4856775104999542,1.0,0.3980245888233185,,
45.0,0.7359186238712735,7.0,0.5285940340587071,1.0,0.3370985984802246,1.0,0.4461977481842041,,
,,,,,,1.0,0.251864492893219,,
,,,,,,,,1.0,0.8120231032371521
,,1.0,0.6196879744529724,,,,,,
33.0,0.7004677147576304,11.0,0.5700985924764113,1.0,0.5011960864067078,1.0,0.7588620781898499,,
6.0,0.7079979876677195,5.0,0.5439783215522767,,,,,,
,,,,,,1.0,0.251864492893219,,
,,,,,,1.0,0.251864492893219,,
36.0,0.7284528828329511,11.0,0.5536560822616924,1.0,0.4256541430950165,1.0,0.39173242449760437,1.0,0.829667329788208
1.0,0.8831160664558411,1.0,0.5009201765060425,,,,,,
40.0,0.7018156662583351,13.0,0.5575252358730023,1.0,0.44048842787742615,,,2.0,0.7623374164104462
1.0,0.3304975926876068,,,,,,,,
22.0,0.7970898828723214,4.0,0.5015613213181496,1.0,0.5177379250526428,,,,
,,,,,,1.0,0.251864492893219,,
,,,,,,1.0,0.251864492893219,,
20.0,0.6616606056690216,,,,,,,,
1.0,0.5954431891441345,1.0,0.6181914806365967,,,,,,
,,,,,,1.0,0.251864492893219,,
4.0,0.8097748160362244,,,,,,,,
7.0,0.6566486486366817,1.0,0.5439460873603821,,,,,,
83.0,0.7844775347824556,10.0,0.617585477232933,,,,,,
27.0,0.7283374313954953,4.0,0.5387392044067383,,,,,,
,,,,,,1.0,0.251864492893219,,
,,,,,,1.0,0.251864492893219,,
,,,,,,1.0,0.251864492893219,,
14.0,0.8196194469928741,1.0,0.7078383564949036,,,,,,
,,,,,,1.0,0.251864492893219,,
1.0,0.5432682037353516,,,,,,,,
,,,,,,1.0,0.251864492893219,,
2.0,0.7531265914440155,,,,,,,,
32.0,0.7586840577423573,8.0,0.5129618719220161,,,1.0,0.5846163034439087,3.0,0.7410391966501871
,,,,,,1.0,0.251864492893219,,
75.0,0.8085833330949147,3.0,0.514516701300939,,,,,,
1.0,0.8443317413330078,,,,,,,,
1.0,0.8664663434028625,,,,,,,,
205.0,0.7610416653679638,46.0,0.5776657617610433,,,3.0,0.5829107165336609,,
,,,,,,1.0,0.251864492893219,,
,,,,,,1.0,0.251864492893219,,
,,,,,,1.0,0.251864492893219,,
,,,,,,1.0,0.251864492893219,,
42.0,0.7733839402596155,8.0,0.589165210723877,,,,,,
,,,,1.0,0.44624778628349304,,,,
2.0,0.8325226902961731,,,,,,,,
2.0,0.7819932401180267,1.0,0.3615526258945465,,,,,,
12.0,0.741053394973278,4.0,0.5079550072550774,1.0,0.4256546199321747,1.0,0.5228955745697021,,
,,,,,,1.0,0.251864492893219,,
,,,,,,1.0,0.251864492893219,,
,,,,,,1.0,0.251864492893219,,
6.0,0.8382890125115713,5.0,0.540934044122696,,,,,,
35.0,0.7112656729561943,16.0,0.5437284056097269,1.0,0.6120467185974121,,,1.0,0.7061575651168823
,,,,,,1.0,0.251864492893219,,
,,,,,,1.0,0.251864492893219,,
7.0,0.8116717849458966,5.0,0.5740895986557006,,,2.0,0.5983409583568573,,
62.0,0.7184159601888349,24.0,0.594826091080904,,,3.0,0.5267083942890167,2.0,0.7071051746606827
,,,,,,1.0,0.251864492893219,,
6.0,0.6791203618049622,,,,,,,,
56.0,0.7072616618658815,29.0,0.5979883485826952,4.0,0.37597230821847916,4.0,0.4572942480444908,,
2.0,0.6676281094551086,,,,,,,,
2.0,0.733583390712738,1.0,0.5812391042709351,,,1.0,0.4800284802913666,,
10.0,0.7195509999990464,7.0,0.6051879525184631,,,2.0,0.6243798136711121,,
,,,,,,1.0,0.251864492893219,,
,,,,,,1.0,0.251864492893219,,
121.0,0.7446454150125015,35.0,0.610266352551324,2.0,0.3422197699546814,1.0,0.35705363750457764,,
1.0,0.8489776253700256,1.0,0.6009597778320312,,,,,,
,,,,,,1.0,0.251864492893219,,
22.0,0.7106931155378168,5.0,0.6287792444229126,,,,,,
50.0,0.7039834851026535,11.0,0.6379672153429552,,,1.0,0.495259553194046,1.0,0.4507972300052643
,,,,,,1.0,0.251864492893219,,
,,,,,,1.0,0.251864492893219,,
8.0,0.7498253546655178,1.0,0.694607675075531,,,1.0,0.39432966709136963,,
1.0,0.8691596984863281,,,,,,,,
1.0,0.84405916929245,,,,,,,,
35.0,0.6724852280957359,15.0,0.5474971453348796,,,,,1.0,0.444358229637146
2.0,0.6486702263355255,2.0,0.46083293855190277,,,,,,
3.0,0.7816391785939535,4.0,0.5766990408301353,,,,,1.0,0.5123753547668457
120.0,0.7301668743292491,34.0,0.6067223934566274,1.0,0.44017866253852844,6.0,0.4578452557325363,1.0,0.39740657806396484
,,,,,,1.0,0.251864492893219,,
23.0,0.7009164885334347,10.0,0.6150032311677933,1.0,0.386518657207489,,,,
254.0,0.6972710119457696,138.0,0.5586376021737638,8.0,0.48087526112794876,12.0,0.5223220710953077,4.0,0.6209004670381546
13.0,0.7788291573524475,2.0,0.6506865620613098,,,,,,
,,,,,,1.0,0.251864492893219,,
,,,,,,1.0,0.251864492893219,,
4.0,0.6782279685139656,2.0,0.5556548237800598,,,,,,
127.0,0.753907646485201,23.0,0.5866380346857983,1.0,0.3804672062397003,2.0,0.5736329555511475,1.0,0.26110097765922546
,,,,,,1.0,0.251864492893219,,
49.0,0.6969970689744366,17.0,0.6292410072158364,1.0,0.6755750775337219,1.0,0.6439927220344543,,
160.0,0.7362235387787223,35.0,0.5417394544397082,,,2.0,0.48350322246551514,1.0,0.32939139008522034
22.0,0.7419237331910566,4.0,0.5232100039720535,,,,,,
12.0,0.6681779796878496,4.0,0.5940261110663414,,,1.0,0.5343145728111267,,
45.0,0.7037210875087314,14.0,0.5490290032965797,,,1.0,0.4007887542247772,,
,,,,,,1.0,0.251864492893219,,
14.0,0.6729926105056491,4.0,0.572649635374546,1.0,0.556128203868866,,,,
1.0,0.5730902552604675,,,,,,,,
,,,,,,1.0,0.251864492893219,,
54.0,0.7010065079839142,14.0,0.5741331045116697,1.0,0.25095102190971375,3.0,0.4812171459197998,1.0,0.531922459602356
21.0,0.775212722165244,4.0,0.6019877046346664,1.0,0.42482492327690125,,,1.0,0.29639121890068054
3.0,0.7147512833277384,1.0,0.5060058832168579,,,,,,
13.0,0.726342682655041,1.0,0.5475925207138062,,,,,,
62.0,0.784313726809717,6.0,0.6025473972161611,1.0,0.6445605158805847,,,,
12.0,0.7947956820329031,2.0,0.4848608374595642,,,1.0,0.7548211216926575,,
,,,,,,1.0,0.251864492893219,,
,,,,,,1.0,0.251864492893219,,
12.0,0.6610322594642639,,,,,,,,
2.0,0.8169669508934021,,,,,,,,
21.0,0.7122960388660431,8.0,0.601152628660202,2.0,0.6287310421466827,3.0,0.485177218914032,,
,,,,,,1.0,0.251864492893219,,
1.0,0.7982769012451172,,,,,,,,
,,,,,,1.0,0.251864492893219,,
10.0,0.7460822641849518,2.0,0.7348341047763824,,,,,,
,,,,,,1.0,0.251864492893219,,
,,,,,,1.0,0.251864492893219,,
